Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Magic Def,Total Defense,Total Def/Weight
Ironclad Armor+10,343,317,365,343,54,59,38,54,32,30,93,0,0,90,29.8,A,STR 14,Titanite,Nulfies Critical Hits,11.51,1.07,1.72,205,1230,41.28
Ironclad Armor,171,15,182,171,27,29,19,27,32,15,47,0,0,90,29.8,A,STR 14,Titanite,Nulfies Critical Hits,5.74,1.07,0.86,102,470,15.77
Old Ironclad Armor+10,301,279,323,301,43,47,34,43,28,25,75,0,0,45,29.8,A,STR 14,Titanite,,10.1,0.94,1.4,167,1070,35.91
Old Ironclad Armor,150,139,161,150,22,24,17,22,28,12,38,0,0,45,29.8,A,STR 14,Titanite,,5.03,0.94,0.71,85,535,17.95
Havel's Armor+5,437,382,491,437,62,67,58,62,47,25,103,49,49,255,19.5,A,20 STR,Twinkling Titanite,,22.41,2.41,3.19,249,1559,79.95
Havel's Armor,291,255,328,291,42,45,38,42,47,17,69,33,33,255,19.5,A,20 STR,Twinkling Titanite,,14.92,2.41,2.14,167,1041,53.38
Looking Glass Armor+5,393,347,443,393,54,60,89,54,40,51,96,0,0,150,18.3,A,16 STR,Twinkling Titanite,,21.48,2.19,3.51,257,1440,78.69
Looking Glass Armor,262,232,295,262,36,40,60,36,40,34,64,0,0,150,18.3,A,16 STR,Twinkling Titanite,,14.32,2.19,2.35,172,961,52.51
Mastodon Armor+10,395,369,421,395,51,56,34,51,35,65,74,0,0,90,17.7,A, 16 STR,Titanite,,22.32,1.98,2.71,192,1377,77.8
Mastodon Armor,198,184,211,198,26,28,17,26,35,33,37,0,0,90,17.7,A,16 STR,Titanite,,11.19,1.98,1.37,97,690,38.98
Smelter Demon Armor+5,379,382,456,279,53,100,50,53,39,36,82,54,54,160,17.6,A,16 STR,Twinkling Titanite,,21.53,2.22,3.64,256,1373,78.01
Smelter Demon Armor,252,255,304,186,35,66,33,35,39,24,54,36,36,160,17.6,A,16 STR,Twinkling Titanite,,14.32,2.22,2.4,169,914,51.93
Old Knight Armor+10,363,340,377,363,40,40,30,40,40,32,68,0,0,20,16.4,A,,Titanite,,22.13,2.44,2.29,150,1230,75
Old Knight Armor,181,170,189,181,20,20,15,20,40,16,34,0,0,20,16.4,A,,Titanite,,11.04,2.44,1.14,75,615,37.5
Dragonrider Armor+5,362,339,377,362,40,38,41,40,40,39,50,0,0,95,16,A,,Twinkling Titanite,,22.63,2.5,2.48,159,1237,77.31
Dragonrider Armor,242,226,252,242,27,25,28,27,40,26,33,0,0,95,16,A,,Twinkling Titanite,,15.13,2.5,1.67,107,827,51.69
Rusted Mastodon Armor+10,312,291,334,312,41,45,27,41,28,52,60,0,0,40,15.9,A,14 STR,Titanite,,19.62,1.76,2.42,154,1091,68.62
Rusted Mastodon Armor,156,146,167,156,21,22,14,21,28,26,30,0,0,40,15.9,A,14 STR,Titanite,,9.81,1.76,1.23,78,547,34.4
Drakekeeper Armor+10,353,340,371,353,54,59,49,54,36,54,75,0,72,90,15.7,A,,Titanite,,22.48,2.29,3.44,216,1280,81.53
Drakekeeper Armor,177,170,186,177,24,30,24,27,36,27,38,0,36,90,15.7,A,,Titanite,,11.27,2.29,1.67,105,638,40.64
Alonne Captain Armor+10,324,305,343,324,68,106,45,68,38,34,75,0,0,90,15.6,A,,Titanite,Fire Defense +,20.77,2.44,4.6,287,1259,80.71
Alonne Captain Armor,162,153,171,162,34,53,23,34,38,17,38,0,0,90,15.6,A,,Titanite,Fire Defense +,10.38,2.44,2.31,144,630,40.38
Velstadt's Armor+5,343,314,363,356,52,54,31,109,28,38,94,55,71,140,15.2,A,,Twinkling Titanite,,22.57,1.84,4.05,246,1279,84.14
Velstadt's Armor,229,209,242,238,35,36,21,73,28,26,63,37,48,140,15.2,A,,Twinkling Titanite,,15.07,1.84,2.71,165,854,56.18
Vengarl's Armor+5,329,311,351,329,52,64,45,52,34,47,59,0,0,85,15.1,A,,Twinkling Titanite,,21.79,2.25,3.53,213,1204,79.74
Vengarl's Armor,219,207,234,219,34,42,30,34,34,32,40,0,0,85,15.1,A,,Twinkling Titanite,,14.5,2.25,2.32,140,800,52.98
Imperious Armor+10,321,308,338,321,66,55,46,66,30,54,68,53,53,85,14.7,A,,Titanite,,21.84,2.04,3.96,233,1200,81.63
Imperious Armor,160,154,169,160,33,28,23,30,30,27,34,26,26,85,14.7,A,,Titanite,,10.88,2.04,1.94,114,597,40.61
Drangleic Mail+5,293,276,316,298,47,47,42,47,28,49,64,0,0,90,14.5,A,,Twinkling Titanite,,20.21,1.93,3.16,183,1073,74
Drangleic Mail,195,184,211,199,32,32,28,32,28,33,42,0,0,90,14.5,A,,Twinkling Titanite,,13.45,1.93,2.14,124,718,49.52
Black Dragon Armor,125,121,127,125,18,39,19,18,12,23,32,26,26,225,14.5,A,"14 STR, 14 DEX",Petrified Dragon,,8.62,0.83,1.62,94,467,32.21
Sanctum Knight Armor+5,295,275,317,297,45,45,40,46,9,0,0,0,0,90,14.4,A,,Twinkling Titanite,,20.49,0.63,3.06,176,1065,73.96
Sanctum Knight Armor,236,220,254,238,30,30,27,31,9,30,44,0,0,90,14.4,A,,Twinkling Titanite,,16.39,0.63,2.05,118,830,57.64
Alonne Knight Armor+10,305,291,321,305,55,91,44,55,34,28,64,0,0,80,14.2,A,,Titanite,,21.48,2.39,4.31,245,1162,81.83
Alonne Knight Armor,152,146,161,152,27,45,22,27,34,14,32,0,0,80,14.2,A,,Titanite,,10.7,2.39,2.13,121,580,40.85
Steel Armor+10,321,306,342,321,49,52,37,49,32,44,72,0,0,100,14,A,,Titanite,,22.93,2.29,3.34,187,1156,82.57
Steel Armor,160,153,171,160,24,26,19,24,32,22,36,0,0,100,14,A,,Titanite,,11.43,2.29,1.66,93,577,41.21
Throne Defender Armor+5,283,272,292,284,57,53,34,57,25,40,66,0,0,100,13.8,A,,Twinkling Titanite,,20.51,1.81,3.64,201,1049,76.01
